                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
27/05/15  5:55a   16.0   16.0   16.0    86   13.7   0.0   ---   0.00   0.0   ---   16.0   16.1   16.1  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:00a   16.0   16.1   16.0    86   13.7   0.0    SE   0.00   1.7    SE   16.0   16.1   16.1  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:05a   16.0   16.0   16.0    86   13.7   0.0    SE   0.00   1.7    SE   16.0   16.1   16.1  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:10a   16.0   16.0   16.0    86   13.7   0.0   ---   0.00   0.0   ---   16.0   16.1   16.1  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:15a   16.0   16.0   16.0    86   13.7   0.9    SE   0.07   2.6    SE   16.0   16.1   16.1  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:20a   16.0   16.0   16.0    86   13.7   0.0   ---   0.00   0.0   ---   16.0   16.1   16.1  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:25a   16.0   16.0   16.0    86   13.7   0.0   ---   0.00   0.0   ---   16.0   16.1   16.1  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:30a   16.0   16.1   16.0    86   13.7   0.0   ---   0.00   0.0   ---   16.0   16.1   16.1  1017.5  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    114    1    100.0    5 
27/05/15  6:35a   16.1   16.1   16.0    86   13.7   0.0   ---   0.00   0.0   ---   16.1   16.2   16.2  1017.5  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:40a   16.1   16.1   16.0    86   13.7   0.0   ---   0.00   0.0   ---   16.1   16.2   16.2  1017.6  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:45a   16.1   16.1   16.1    86   13.7   0.0   ---   0.00   0.0   ---   16.1   16.2   16.2  1017.6  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    118    1    100.0    5 
27/05/15  6:50a   16.1   16.1   16.1    86   13.8   0.0   ---   0.00   0.0   ---   16.1   16.2   16.2  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  6:55a   16.1   16.1   16.1    87   13.9   0.9    SE   0.07   2.6    SE   16.1   16.3   16.3  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:00a   16.2   16.2   16.1    87   14.0   0.9    SE   0.07   1.7    SE   16.2   16.3   16.3  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:05a   16.2   16.2   16.1    87   14.0   0.0   SSE   0.00   0.9   SSE   16.2   16.3   16.3  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:10a   16.1   16.2   16.1    86   13.8   0.0   ---   0.00   0.0   ---   16.1   16.2   16.2  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:15a   16.2   16.2   16.1    87   14.0   0.0   ---   0.00   0.0   ---   16.2   16.3   16.3  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:20a   16.2   16.2   16.2    87   14.0   0.0   ---   0.00   0.0   ---   16.2   16.3   16.3  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:25a   16.2   16.2   16.2    87   14.0   0.0   ---   0.00   0.0   ---   16.2   16.3   16.3  1017.7  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
